# this file should contain results information.  The first column should contain something that can be used to link the results to the assays file e.g. Experimental Condition [targeted protein]		
Experiment	Directory and filename	Descriptor
Exp1_rep1_0min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im1.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_0min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im1_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_0min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im1_Cells.tif	Image of segmented cells
Exp1_rep1_0min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im1_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_0min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im2.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_0min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im2_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_0min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im2_Cells.tif	Image of segmented cells
Exp1_rep1_0min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im2_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_0min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im3.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_0min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im3_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_0min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im3_Cells.tif	Image of segmented cells
Exp1_rep1_0min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im3_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_0min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im4.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_0min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im4_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_0min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im4_Cells.tif	Image of segmented cells
Exp1_rep1_0min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_0min_im4_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_10min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im1.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_10min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im1_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_10min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im1_Cells.tif	Image of segmented cells
Exp1_rep1_10min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im1_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_10min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im2.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_10min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im2_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_10min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im2_Cells.tif	Image of segmented cells
Exp1_rep1_10min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im2_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_10min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im3.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_10min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im3_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_10min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im3_Cells.tif	Image of segmented cells
Exp1_rep1_10min_im3.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im3_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_10min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im4.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_10min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im4_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_10min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im4_Cells.tif	Image of segmented cells
Exp1_rep1_10min_im4.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_10min_im4_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_15min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im1.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_15min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im1_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_15min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im1_Cells.tif	Image of segmented cells
Exp1_rep1_15min_im1.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im1_trans_plane.tif	Processed bright field image for cell segmentation
Exp1_rep1_15min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im2.mat	Matlab files containing all the M_Lab data.
Exp1_rep1_15min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im2_CellInfo.csv	"5 cell properties for each cell: 1,2: cell centroid x and y; 3: cell major axis; 4; cell minor axis; 5: Area of the cell"
Exp1_rep1_15min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im2_Cells.tif	Image of segmented cells
Exp1_rep1_15min_im2.tif	Exp1_rep1/#2_Analyzed_images/M_Lab_Exp1_rep1_15min_im2_trans_plane.tif	Processed bright field image for cell segmentation
